Class,Trait,delta,p-value,Phylogeny
Birds,Specialisation,1.6,3.90E-10,Modified
Birds,Trophic level,9.98,2.91E-11,Modified
Birds,Diel activity,28469.32,3.90E-10,Modified
Birds,Primary diet,17.59,1.91E-06,Modified
Reptiles,Specialisation,1.54,3.90E-10,Modified
Reptiles,Trophic level,4.33,1.91E-06,Modified
Reptiles,Diel activity,7.08,3.90E-10,Modified
Mammals,Specialisation,1.38,3.90E-10,Modified
Mammals,Trophic level,16.96,1.14E-13,Modified
Mammals,Diel activity,18.72,3.90E-10,Modified
Mammals,Primary diet,49.61,1.86E-09,Modified
Amphibians,Specialisation ,3.36,3.90E-10,Modified
Amphibians,Trophic level,18.17,9.31E-10,Modified
Amphibians,Diel activity,2.85,3.90E-10,Modified
Amphibians,Primary diet,3.68,9.54E-07,Modified
Birds,Specialisation,1.27,3.90E-10,Original
Birds,Trophic level,10.57,2.27E-13,Original
Birds,Diel activity,33504.1,3.90E-10,Original
Birds,Primary diet,18.49,0.00012,Original
Reptiles,Specialisation,1.77,3.90E-10,Original
Reptiles,Trophic level,4.4,5.82E-11,Original
Reptiles,Diel activity,6.35,3.90E-10,Original
Mammals,Specialisation,1.4,3.90E-10,Original
Mammals,Trophic level,16.3,5.68E-14,Original
Mammals,Diel activity,17.14,3.90E-10,Original
Mammals,Primary diet,45.64,0.00098,Original
Amphibians,Specialisation ,2.27,3.90E-10,Original
Amphibians,Trophic level,2.62,1.46E-11,Original
Amphibians,Diel activity,1.73,3.90E-10,Original
Amphibians,Primary diet,3.14,1.16E-10,Original
